CID,Name,MolecularFormula,CanonicalSMILES,MolecularWeight
5793,"Glucose",C6H12O6,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,180.16
5988,"Sucrose",C12H22O11,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,342.30
6134,"Fructose",C6H12O6,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,180.16
2244,"Aspirin",C9H8O4,CC(=O)OC1=CC=CC=C1C(O)=O,180.16
1983,"Acetaminophen",C8H9NO2,CC(=O)NC1=CC=C(O)C=C1,151.16
3672,"Ibuprofen",C13H18O2,CC(C)CC1=CC=C(C=C1)C(C)C(O)=O,206.28
2519,"Caffeine",C8H10N4O2,Cn1cnc2c1c(=O)n(c(=O)n2C)C,194.19
5960,"Alanine",C3H7NO2,CC(N)C(O)=O,89.09
6106,"Glycine",C2H5NO2,NCC(O)=O,75.07
702,"Ethanol",C2H6O,CCO,46.07
887,"Methanol",CH4O,CO,32.04
180,"Acetone",C3H6O,CC(C)=O,58.08
8030,"Benzene",C6H6,c1ccccc1,78.11
1140,"Toluene",C7H8,Cc1ccccc1,92.14
6137,"Leucine",C6H13NO2,CC(C)CC(N)C(O)=O,131.17
6306,"Tryptophan",C11H12N2O2,NC(CC1=CNC2=CC=CC=C12)C(O)=O,204.23
54670067,"Vitamin C",C6H8O6,OC[C@H](O)[C@H]1OC(=O)C(O)=C1O,176.12
962,"Water",H2O,O,18.02
6324,"Acetic Acid",C2H4O2,CC(=O)O,60.05
7500,"Naphthalene",C10H8,c1ccc2ccccc2c1,128.17
